id,inter_code,name,categ_id:id,uom_id:id,uom_po_id:id,type
wz360,011,喷油器总成,wzfl20,jldw8,jldw8,product
wz361,012,高压油泵回油管,wzfl20,jldw10,jldw10,product
wz362,013,飞锤,wzfl20,jldw8,jldw8,product
wz364,001,风扇皮带轮总成,wzfl22,jldw8,jldw8,product
wz365,002,过度轮总成,wzfl22,jldw8,jldw8,product
wz366,003,油门拉线  9.5M,wzfl22,jldw8,jldw8,product
wz368,005,水泵总成,wzfl22,jldw8,jldw8,product
wz371,001,增压器总成,wzfl25,jldw8,jldw8,product
wz372,002,增压器进油管,wzfl25,jldw10,jldw10,product
wz373,001,发动机总成,wzfl27,jldw8,jldw8,product
wz374,001,气缸体,wzfl28,jldw8,jldw8,product
wz376,003,发动机后支架胶垫,wzfl28,jldw8,jldw8,product
wz377,004,气门室盖,wzfl28,jldw8,jldw8,product
wz378,005,缸体放水开关,wzfl28,jldw8,jldw8,product
wz379,006,气缸套,wzfl28,jldw8,jldw8,product
wz380,007,齿轮室盖,wzfl28,jldw8,jldw8,product
wz381,008,齿轮室,wzfl28,jldw8,jldw8,product
wz382,009,齿轮室盖垫,wzfl28,jldw8,jldw8,product
wz384,011,飞轮盘总成,wzfl28,jldw8,jldw8,product
wz385,012,飞轮,wzfl28,jldw8,jldw8,product
wz386,013,飞轮齿圈,wzfl28,jldw8,jldw8,product
wz387,014,飞轮螺丝及帽,wzfl28,jldw8,jldw8,product
wz388,015,飞轮锁片,wzfl28,jldw24,jldw24,product
wz389,016,油底壳,wzfl28,jldw8,jldw8,product
wz390,017,飞轮壳,wzfl28,jldw8,jldw8,product
wz391,018,油底壳放油螺丝,wzfl28,jldw18,jldw18,product
wz392,019,气缸床,wzfl28,jldw6,jldw6,product
wz393,001,气缸盖总成,wzfl29,jldw8,jldw8,product
wz394,002,气缸盖,wzfl29,jldw8,jldw8,product
wz395,003,缸盖罩密封圈,wzfl29,jldw8,jldw8,product
wz396,004,缸盖罩罗栓垫,wzfl29,jldw8,jldw8,product
wz398,006,缸盖水塞,wzfl29,jldw8,jldw8,product
wz400,008,气缸床,wzfl29,jldw31,jldw31,product
wz401,009,缸盖螺栓（长）,wzfl29,jldw8,jldw8,product
wz402,010,缸盖罗栓（短）,wzfl29,jldw8,jldw8,product
wz403,011,缸盖罩垫片,wzfl29,jldw8,jldw8,product
wz404,012,缸盖水堵,wzfl29,jldw8,jldw8,product
wz405,001,曲轴,wzfl30,jldw10,jldw10,product
wz406,002,活塞　+0.00,wzfl30,jldw10,jldw10,product
wz407,003,活塞销 +0.00,wzfl30,jldw10,jldw10,product
wz408,004,活塞销卡环,wzfl30,jldw8,jldw8,product
wz409,005,活塞环　+0.00,wzfl30,jldw6,jldw6,product
wz410,006,活塞销衬套,wzfl30,jldw8,jldw8,product
wz411,007,连杆总成,wzfl30,jldw3,jldw3,product
wz412,008,连杆螺丝及帽,wzfl30,jldw28,jldw28,product
wz413,009,连杆轴瓦 +0.00,wzfl30,jldw5,jldw5,product
wz414,010,连杆衬套,wzfl30,jldw8,jldw8,product
wz415,011,连杆轴瓦 +0.50,wzfl30,jldw5,jldw5,product
wz416,012,连杆轴瓦+0.75,wzfl30,jldw5,jldw5,product
wz417,013,曲轴平键,wzfl30,jldw8,jldw8,product
wz418,014,曲轴瓦 +0.00,wzfl30,jldw6,jldw6,product
wz419,015,曲轴瓦+0.25,wzfl30,jldw6,jldw6,product
wz420,016,曲轴瓦+0.50,wzfl30,jldw6,jldw6,product
wz421,017,曲轴瓦+0.75,wzfl30,jldw6,jldw6,product
wz423,019,曲轴皮带轮总成,wzfl30,jldw8,jldw8,product
wz424,020,曲轴皮带轮锥套,wzfl30,jldw8,jldw8,product
wz425,021,曲轴齿,wzfl30,jldw8,jldw8,product
wz426,022,曲轴起动爪,wzfl30,jldw8,jldw8,product
wz427,023,曲轴挡油片,wzfl30,jldw24,jldw24,product
wz428,024,曲轴止推片,wzfl30,jldw24,jldw24,product
wz429,025,曲轴油封座,wzfl30,jldw8,jldw8,product
wz430,026,曲轴平键,wzfl30,jldw8,jldw8,product
wz431,027,活塞销卡簧,wzfl30,jldw8,jldw8,product
wz433,029,飞轮齿圈,wzfl30,jldw8,jldw8,product
wz434,001,凸轮轴,wzfl31,jldw10,jldw10,product
wz435,002,凸轮轴瓦 +0.00,wzfl31,jldw6,jldw6,product
wz436,003,凸轮轴止推突元,wzfl31,jldw8,jldw8,product
wz437,004,凸轮轴锁紧垫片,wzfl31,jldw24,jldw24,product
wz439,006,凸轮轴前衬套,wzfl31,jldw8,jldw8,product
wz440,007,凸轮轴正时齿轮,wzfl31,jldw8,jldw8,product
wz441,008,进气门,wzfl31,jldw8,jldw8,product
wz442,009,排气门,wzfl31,jldw8,jldw8,product
wz443,010,进气门座圈,wzfl31,jldw8,jldw8,product
wz445,012,气门外弹簧,wzfl31,jldw8,jldw8,product
wz446,013,气门内弹簧,wzfl31,jldw8,jldw8,product
wz447,014,气门弹簧座,wzfl31,jldw8,jldw8,product
wz448,015,内气门弹簧座,wzfl31,jldw8,jldw8,product
wz449,016,气门锁片,wzfl31,jldw24,jldw24,product
wz450,017,气门导管,wzfl31,jldw10,jldw10,product
wz451,018,气门挺杆,wzfl31,jldw10,jldw10,product
wz452,019,气门挺杆室盖,wzfl31,jldw8,jldw8,product
wz453,020,气门推杆,wzfl31,jldw10,jldw10,product
wz455,022,气门摇臂,wzfl31,jldw8,jldw8,product
wz456,023,气门摇臂调整螺丝及帽,wzfl31,jldw8,jldw8,product
wz457,024,气门调整螺丝,wzfl31,jldw8,jldw8,product
wz459,026,前摇臂轴,wzfl31,jldw8,jldw8,product
wz460,027,中摇臂轴,wzfl31,jldw8,jldw8,product
wz461,028,后摇臂轴,wzfl31,jldw8,jldw8,product
wz462,029,前摇臂座,wzfl31,jldw8,jldw8,product
wz463,030,中摇臂座,wzfl31,jldw8,jldw8,product
wz464,031,后摇臂座,wzfl31,jldw8,jldw8,product
wz465,032,气门挡油罩,wzfl31,jldw8,jldw8,product
wz466,033,进排气歧管总成,wzfl31,jldw8,jldw8,product
wz467,034,进气歧管,wzfl31,jldw8,jldw8,product
wz468,035,排气歧管,wzfl31,jldw8,jldw8,product
wz469,036,进气管垫,wzfl31,jldw8,jldw8,product
wz471,038,排气管接口垫,wzfl31,jldw8,jldw8,product
wz472,039,消声器进气管,wzfl31,jldw8,jldw8,product
wz473,040,双消声器,wzfl31,jldw8,jldw8,product
wz474,041,消声器支架,wzfl31,jldw8,jldw8,product
wz475,042,消声器后弯管,wzfl31,jldw8,jldw8,product
wz476,043,喷油泵齿轮,wzfl31,jldw8,jldw8,product
wz477,044,惰轮轴,wzfl31,jldw10,jldw10,product
wz478,045,惰轮,wzfl31,jldw8,jldw8,product
wz481,048,排气支管垫,wzfl31,jldw8,jldw8,product
wz482,049,惰轮衬套,wzfl31,jldw8,jldw8,product
wz483,050,挺杆室前盖,wzfl31,jldw8,jldw8,product
wz484,051,挺杆室后盖,wzfl31,jldw8,jldw8,product
wz485,052,齿轮室盖,wzfl31,jldw8,jldw8,product
wz486,001,油箱,wzfl32,jldw8,jldw8,product
wz487,002,双柴油滤清器总成,wzfl32,jldw8,jldw8,product
wz488,003,柴滤器胶圈,wzfl32,jldw8,jldw8,product
wz489,004,柴滤器胶圈,wzfl32,jldw8,jldw8,product
wz490,005,柴滤器垫,wzfl32,jldw8,jldw8,product
wz491,006,空气滤清器总成,wzfl32,jldw8,jldw8,product
wz493,008,空气滤清器胶圈,wzfl32,jldw8,jldw8,product
wz496,011,油门弹簧,wzfl32,jldw8,jldw8,product
wz497,012,输油泵,wzfl32,jldw8,jldw8,product
wz498,013,高压油泵总成,wzfl32,jldw8,jldw8,product
wz499,014,喷油器总成,wzfl32,jldw8,jldw8,product
wz500,015,高压油泵飞锤,wzfl32,jldw8,jldw8,product
wz501,016,喷油嘴偶件,wzfl32,jldw8,jldw8,product
wz502,017,油泵柱塞偶件,wzfl32,jldw8,jldw8,product
wz504,019,油泵联结器总成,wzfl32,jldw8,jldw8,product
wz506,021,高压油泵齿轮,wzfl32,jldw8,jldw8,product
wz507,022,高压油泵凸轮轴,wzfl32,jldw10,jldw10,product
wz508,023,回油管螺丝,wzfl32,jldw18,jldw18,product
wz509,024,喷油咀固定螺丝,wzfl32,jldw18,jldw18,product
wz514,029,回油管,wzfl32,jldw10,jldw10,product
wz516,031,柴油滤清器 CX 0710,wzfl32,jldw8,jldw8,product
wz519,034,出油阀,wzfl32,jldw8,jldw8,product
wz520,001,机油泵,wzfl33,jldw8,jldw8,product
wz521,002,机油加油盖,wzfl33,jldw8,jldw8,product
wz522,003,机油滤清器总成,wzfl33,jldw8,jldw8,product
wz523,004,机油尺,wzfl33,jldw10,jldw10,product
wz524,005,机油集滤器,wzfl33,jldw8,jldw8,product
wz529,010,机油报警器,wzfl33,jldw8,jldw8,product
wz530,001,小回水弯管,wzfl34,jldw10,jldw10,product
wz531,002,节温器,wzfl34,jldw10,jldw10,product
wz532,003,节温器盖,wzfl34,jldw8,jldw8,product
wz533,004,水泵总成,wzfl34,jldw8,jldw8,product
wz534,005,水泵轮壳,wzfl34,jldw8,jldw8,product
wz535,006,水泵轴,wzfl34,jldw10,jldw10,product
wz536,007,水泵轴卡簧,wzfl34,jldw8,jldw8,product
wz537,008,水泵叶轮,wzfl34,jldw8,jldw8,product
wz538,009,水泵轮毂,wzfl34,jldw8,jldw8,product
wz539,010,水泵石墨水封,wzfl34,jldw8,jldw8,product
wz540,011,水泵风扇叶,wzfl34,jldw8,jldw8,product
wz541,001,发动机总成,wzfl51,jldw8,jldw8,product
wz542,002,发动机带变速器总成,wzfl51,jldw8,jldw8,product
wz544,002,气缸体,wzfl52,jldw8,jldw8,product
wz562,020,缸体放水开关,wzfl52,jldw8,jldw8,product
wz568,026,弹簧0.5X6.2X27,wzfl52,jldw8,jldw8,product
wz672,002,汽油箱总成,wzfl56,jldw8,jldw8,product
wz673,003,喷油咀偶件,wzfl56,jldw8,jldw8,product
wz758,004,紧固气缸盖罩螺栓,wzfl65,jldw8,jldw8,product
wz783,003,凸轮轴正时齿轮  （三公司）,wzfl67,jldw8,jldw8,product
wz811,018,EQH105C型化油器 总成,wzfl68,jldw8,jldw8,product
wz820,027,汽油箱总成,wzfl68,jldw8,jldw8,product
wz842,011,调整垫片,wzfl69,jldw24,jldw24,product
wz867,036,机油报警器   12V,wzfl69,jldw8,jldw8,product
wz879,012,水泵静环总成,wzfl70,jldw8,jldw8,product
wz908,041,水温表传感器总成,wzfl70,jldw8,jldw8,product
wz912,003,飞轮壳,wzfl76,jldw8,jldw8,product
wz913,001,飞轮盘总成,wzfl78,jldw8,jldw8,product
wz914,002,曲轴挡油盘,wzfl78,jldw8,jldw8,product
wz920,006,真空管,wzfl79,jldw8,jldw8,product
wz923,003,化油器,wzfl80,jldw8,jldw8,product
wz924,004,化油器修理包,wzfl80,jldw4,jldw4,product
wz926,006,化油器电磁阀,wzfl80,jldw8,jldw8,product
wz931,001,机油转子滤清器总成,wzfl81,jldw8,jldw8,product
wz932,002,机油粗滤器总成,wzfl81,jldw8,jldw8,product
wz933,003,汽油滤清器,wzfl81,jldw8,jldw8,product
wz934,001,水箱总成,wzfl82,jldw8,jldw8,product
wz936,003,水泵卡环,wzfl82,jldw8,jldw8,product
wz937,004,水温感应塞,wzfl82,jldw8,jldw8,product
wz938,005,水箱进水管  270X170Xφ48,wzfl82,jldw10,jldw10,product
wz942,009,水泵轴,wzfl82,jldw10,jldw10,product
wz946,002,气缸床,wzfl136,jldw31,jldw31,product
wz949,003,预热起动开关,wzfl139,jldw8,jldw8,product
wz950,001,机油细滤芯,wzfl141,jldw8,jldw8,product
wz951,002,机油滤清器密封圈,wzfl141,jldw8,jldw8,product
wz952,001,YC6108ZQ发动机总成,wzfl147,jldw8,jldw8,product
wz953,001,曲轴箱滤清器,wzfl148,jldw8,jldw8,product
wz954,002,缸套,wzfl148,jldw8,jldw8,product
wz955,003,气缸床,wzfl148,jldw31,jldw31,product
wz956,004,缸体放水开关,wzfl148,jldw8,jldw8,product
wz957,005,气缸套,wzfl148,jldw8,jldw8,product
wz958,006,油底壳,wzfl148,jldw8,jldw8,product
wz959,007,飞轮壳,wzfl148,jldw8,jldw8,product
wz960,008,齿轮室盖,wzfl148,jldw8,jldw8,product
wz961,009,齿轮室,wzfl148,jldw8,jldw8,product
wz962,010,齿轮室盖垫,wzfl148,jldw8,jldw8,product
wz963,011,缸套阻水圈,wzfl148,jldw8,jldw8,product
wz964,012,油底壳放油螺丝,wzfl148,jldw8,jldw8,product
wz965,013,防水圈,wzfl148,jldw8,jldw8,product
wz967,015,气缸体,wzfl148,jldw8,jldw8,product
wz968,016,发动机后支架胶垫,wzfl148,jldw8,jldw8,product
wz969,001,气缸盖总成,wzfl149,jldw8,jldw8,product
wz970,002,气缸盖,wzfl149,jldw8,jldw8,product
wz971,003,缸盖罩,wzfl149,jldw8,jldw8,product
wz972,004,缸盖罩密封圈,wzfl149,jldw8,jldw8,product
wz974,006,缸盖水塞,wzfl149,jldw8,jldw8,product
wz975,007,曲轴箱通风管空气滤清器,wzfl149,jldw8,jldw8,product
