id,code,name,parent_id:id
wzfl780,0458,DD6111HS车身,wzfl660
wzfl794,0460,依维柯CJ6101G5C13H车身,wzfl660
wzfl801,05,皮带,wzfl804
wzfl805,0600,通用油封,wzfl804
wzfl817,0601,CY6102发动机油封,wzfl804
wzfl829,0602,CY6102ZQ发动机油封,wzfl804
wzfl841,0603,YC6108发动机油封,wzfl804
wzfl853,0604,KIAJS-2油封油封,wzfl804
wzfl865,0605,EQ6100-I发动机油封,wzfl804
wzfl877,0606,EQ6100-I3发动机油封,wzfl804
wzfl889,0607,EQ6100发动机油封,wzfl804
wzfl901,0608,CA6100发动机油封,wzfl804
wzfl913,0609,柳微462Q发动机油封,wzfl804
wzfl925,0610,五十铃465发动机油封,wzfl804
wzfl937,0611,其他发动机油封,wzfl804
wzfl949,0612,6110B4发动机油封,wzfl804
wzfl961,0613,YC6108ZQ发动机油封,wzfl804
wzfl973,0614,YC4110ZQ发动机油封,wzfl804
wzfl985,0621,CFC6100GD3底盘油封,wzfl804
wzfl997,0622,CJ6100GIQIYH底盘油封,wzfl804
wzfl1009,0623,CFC6100GDP底盘油封,wzfl804
wzfl1021,0624,DD6101HS底盘油封,wzfl804
wzfl1033,0625,DD6103HSC底盘油封,wzfl804
wzfl1045,0626,GZK6100AD底盘油封,wzfl804
wzfl1057,0627,WG6800-3底盘油封,wzfl804
wzfl1069,0628,WG6800E-4底盘油封,wzfl804
wzfl1081,0629,WG6800E-1底盘油封,wzfl804
wzfl1093,0630,CK2645底盘油封,wzfl804
wzfl1105,0631,牡丹MD6602AD5底盘油封,wzfl804
wzfl1117,0632,柳微油封,wzfl804
wzfl1129,0633,其它底盘油封,wzfl804
wzfl1141,0634,锡柴杭汽油封,wzfl804
wzfl1153,0635,EQ153底盘油封,wzfl804
wzfl1165,0636,EQ140B2CK(YC4110ZQ)油封,wzfl804
wzfl1177,0637,EQ153-DD6111HS底盘(加长)油封,wzfl804
wzfl1190,0700,通用轴承,wzfl1189
wzfl1195,1001,手钳,wzfl1194
wzfl1205,1002,扳手,wzfl1194
